title,description
Analyst Programmer,"Drainage of R Low Lung Lobe with Drain Dev, Perc Approach"
Assistant Media Planner,"Excision of L Temporomandib Jt, Perc Approach, Diagn"
Cost Accountant,"Bypass L Renal Vein to Low Vein w Autol Sub, Open"
Tax Accountant,"Repair Ventricular Septum, Percutaneous Endoscopic Approach"
Tax Accountant,Plain Radiography of Bi Fallop Tube using Oth Contrast
Editor,"Insertion of Hybrid Ext Fix into R Radius, Perc Approach"
Marketing Assistant,"Replacement of Right Fibula with Synth Sub, Open Approach"
Tax Accountant,"Replacement of L Up Arm Tendon with Autol Sub, Open Approach"
VP Accounting,"Repair Right Lower Femur, External Approach"
Mechanical Systems Engineer,Fluoroscopy of Bladder
Engineer III,"Restriction of Left Ureter, Percutaneous Approach"
Electrical Engineer,"Revision of Int Fix in R Clavicle, Open Approach"
Structural Analysis Engineer,"Release Peroneal Nerve, Percutaneous Endoscopic Approach"
Graphic Designer,"Bypass Inf Vena Cava to Low Vein w Autol Sub, Perc Endo"
Quality Engineer,"Removal of Drain Dev from Endocrine Gland, Perc Approach"
Information Systems Manager,"Extirpation of Matter from L Foot Muscle, Perc Endo Approach"
Clinical Specialist,"Drainage of Right Kidney Pelvis, Endo, Diagn"
Senior Quality Engineer,"Excision of Left Zygomatic Bone, Open Approach"
Office Assistant IV,"Removal of Autol Sub from Up Intest Tract, Perc Approach"
Database Administrator IV,"Revision of Autol Sub in Tracheobronc Tree, Perc Approach"
Computer Systems Analyst I,"Restriction of Right Anterior Tibial Artery, Open Approach"
Legal Assistant,"Bypass Gallbladder to Cystic Duct, Perc Endo Approach"
Media Manager II,"Excision of Right Lesser Saphenous Vein, Perc Endo Approach"
Developer II,Fluoroscopy of Upper GI and Small Bowel
VP Sales,"Release L Up Arm Subcu/Fascia, Extern Approach"
Mechanical Systems Engineer,"Removal of Ext Fix from L Carpal, Perc Approach"
Data Coordiator,"Repair Bladder Neck, Via Natural or Artificial Opening"
Account Representative III,"Fluoroscopy of L Pelvic Vein using H Osm Contrast, Guidance"
Quality Engineer,"Repair Right Thumb Phalanx, Open Approach"
Chief Design Engineer,"Removal of Autol Sub from R Femur Shaft, Perc Endo Approach"
Marketing Manager,"Replacement of Sup Vena Cava with Autol Sub, Open Approach"
Quality Control Specialist,"Removal of Drainage Device from Vas Deferens, Via Opening"
Compensation Analyst,"Reposition Thoracic Spinal Cord, Perc Endo Approach"
Senior Editor,"Fragmentation in Pelvic Cavity, Perc Endo Approach"
Recruiter,"Bypass Stomach to Ileum, Open Approach"
Account Coordinator,"Dilate 3 Cor Art, Bifurc, w Radioact Intralum, Perc"
Media Manager III,"Insertion of Infusion Dev into R Lobe Liver, Open Approach"
VP Product Management,"Reattachment of Uterus, Open Approach"
Environmental Specialist,"Reposition Left Maxilla, Open Approach"
Marketing Manager,Traction of Abdominal Wall
Junior Executive,"Remove Infusion Dev from Prostate/Seminal Ves, Perc Endo"
VP Accounting,"Excision of Brachial Plexus, Open Approach"
Administrative Assistant II,"Repair Right Hepatic Duct, Percutaneous Endoscopic Approach"
Help Desk Operator,"Removal of Ext Fix from L Tarsal Jt, Extern Approach"
Paralegal,"Bypass L Fem Art to Low Ex Vein with Autol Vn, Open Approach"
Chemical Engineer,"Alteration of Left Upper Leg, Open Approach"
Assistant Professor,"Release Right Thumb Phalanx, Perc Endo Approach"
Assistant Professor,"Supplement R Metacarpocarp Jt with Autol Sub, Open Approach"
Teacher,"Occlusion of Esophagus with Extralum Dev, Open Approach"
Actuary,"Bypass Right Vas Deferens to L Epidid, Perc Endo Approach"
Compensation Analyst,Planar Nucl Med Imag of Digestive Sys using Oth Radionuclide
Financial Analyst,"Replacement of L Brach Vein with Nonaut Sub, Open Approach"
VP Quality Control,"Supplement R Foot Art with Nonaut Sub, Perc Endo Approach"
Nurse Practicioner,"Revision of Drainage Device in L Wrist Jt, Extern Approach"
Geologist IV,"Drainage of Right Carpal Joint, Perc Endo Approach, Diagn"
Food Chemist,"Inspection of Pancreatic Duct, Via Opening"
VP Product Management,"Release Left Axillary Lymphatic, Open Approach"
Actuary,"Repair Left Lacrimal Bone, External Approach"
Quality Control Specialist,"Restriction of Left Cephalic Vein, Open Approach"
Mechanical Systems Engineer,"Reposition Right Scapula, Percutaneous Endoscopic Approach"
Programmer Analyst IV,"Revision of Autol Sub in Low Back, Perc Endo Approach"
Account Coordinator,"Restriction of Mid Esophag with Extralum Dev, Perc Approach"
Office Assistant IV,"Insertion of Oth Dev into Retroperitoneum, Open Approach"
Compensation Analyst,"Extirpate of Matter from L Subclav Vein, Perc Endo Approach"
Nurse,"Occlusion of R Colic Art with Extralum Dev, Perc Approach"
Technical Writer,"Inspection of Kidney, Via Natural or Artificial Opening"
Chemical Engineer,"Bypass Sup Vena Cava to L Pulm Art w Zooplastic, Open"
Speech Pathologist,"Reposition Right Rib, Open Approach"
VP Quality Control,"Revision of Autol Sub in Trachea, Perc Approach"
Software Test Engineer IV,"Transfer Olfactory Nerve to Oculomotor N, Perc Endo Approach"
Compensation Analyst,Tomo Nucl Med Imag of Bilat Breast using Oth Radionuclide
Legal Assistant,"Excision of Prepuce, Percutaneous Approach, Diagnostic"
Human Resources Manager,"Bypass L Int Iliac Art to R Int Ilia w Nonaut Sub, Open"
Tax Accountant,Osteopathic Treatment of Up Extrem w L Velocity H Ampl
Structural Engineer,"Removal of Drain Dev from Sacrococcygeal Jt, Extern Approach"
Business Systems Development Analyst,"Monitoring of Arterial Sound, Peripheral, Open Approach"
Engineer IV,"Abortion of POC, Abortifacient, Via Opening"
Recruiter,"Removal of Drainage Device from Cereb Vent, Open Approach"
Librarian,"Revision of Monitoring Device in Liver, Perc Approach"
Legal Assistant,"Repair Right Lacrimal Duct, Endo"
Biostatistician III,"Introduction of Immunosuppressive into Peripheral Vein, Open"
Assistant Media Planner,"Extirpate matter from Uterine Support Struct, Open"
Budget/Accounting Analyst IV,Computerized Tomography (CT Scan) of Right Knee
Web Designer I,"Drainage of Left Hand Tendon, Perc Endo Approach"
Quality Control Specialist,"Revision of Intraluminal Device in Urethra, Endo"
Engineer IV,"Dilate of L Com Carotid with 4+ Intralum Dev, Open Approach"
Nurse Practicioner,"Insertion of Int Fix into L Temporomandib Jt, Perc Approach"
Sales Associate,"Eye, Release"
Compensation Analyst,"Revision of Drainage Device in Low Intest Tract, Via Opening"
Senior Financial Analyst,"Supplement Right Middle Finger with Synth Sub, Open Approach"
Health Coach IV,Plain Radiography of Left Clavicle
Nurse,"Excision of Right Ethmoid Sinus, Perc Approach, Diagn"
Sales Representative,"Repair Left Nipple, Percutaneous Approach"
Paralegal,"Drainage of Splenic Artery with Drain Dev, Open Approach"
Biostatistician III,"Bypass R Renal Vein to Low Vein w Synth Sub, Open"
Chief Design Engineer,"Release Right Thyroid Artery, Percutaneous Approach"
Director of Sales,MRI of Bi Com Carotid using Oth Contrast
Software Test Engineer IV,"Supplement R Brach Vein with Synth Sub, Perc Endo Approach"
Research Nurse,"Destruction of Right Tarsal, Open Approach"
Environmental Specialist,"Insertion of Radioact Elem into R Ankle, Perc Endo Approach"
Quality Engineer,"Reposition Sacral Nerve, Open Approach"
GIS Technical Architect,"Destruction of Left Hip Tendon, Open Approach"
Human Resources Manager,Sensory/Processing Assessment of Musculosk Up Back/UE
Tax Accountant,"Replace L Low Arm Subcu/Fascia w Autol Sub, Open"
Recruiter,"Bypass R Ext Jugular Vein to Up Vein w Synth Sub, Perc Endo"
Environmental Specialist,"Excision of Abdominal Sympathetic Nerve, Open Approach"
Senior Cost Accountant,"Supplement Hard Palate with Synth Sub, Open Approach"
Software Test Engineer IV,"Supplement R Shoulder Tendon w Nonaut Sub, Perc Endo"
Database Administrator IV,"Bypass Stomach to Cutaneous with Autol Sub, Open Approach"
Occupational Therapist,"Insert Infusion Dev in Epididymis/Sperm Cord, Via Opening"
Mechanical Systems Engineer,"Destruction of Perineum Tendon, Open Approach"
Technical Writer,"Repair Right Hip Bursa and Ligament, Percutaneous Approach"
VP Marketing,"Insertion of Infusion Dev into L Pleural Cav, Open Approach"
Actuary,"Restrict of L Temporal Art with Intralum Dev, Open Approach"
Help Desk Operator,"Bypass R Axilla Art to R Low Arm Art w Autol Vn, Open"
Teacher,"Removal of Nonaut Sub from L Hip Jt, Perc Endo Approach"
Safety Technician IV,"Excision of Left Ethmoid Sinus, Percutaneous Approach, Diagn"
Actuary,"Replacement of R Up Eyelid with Nonaut Sub, Extern Approach"
VP Sales,Beam Radiation of Buttock Skin using Photons <1 MeV
General Manager,"Insert of Infusion Dev into L Up Extrem, Perc Endo Approach"
Assistant Professor,"Bypass Left Fallopian Tube to Uterus, Perc Endo Approach"
Occupational Therapist,"Supplement L Ext Jugular Vein with Autol Sub, Open Approach"
Administrative Assistant I,Motor Functn Treatment of Integu Up Back/UE using Prosthesis
Human Resources Assistant IV,"Occlusion of Hepatic Vein, Percutaneous Endoscopic Approach"
Assistant Manager,"Repair Right Internal Carotid Artery, Percutaneous Approach"
Media Manager II,"Repair Left Mandible, Percutaneous Endoscopic Approach"
Junior Executive,"Bypass Cereb Vent to Atrium with Nonaut Sub, Perc Approach"
Senior Cost Accountant,"Reposition Right Metatarsal with Int Fix, Perc Approach"
VP Quality Control,"Bypass L Pulm Art from Carotid w Nonaut Sub, Perc Endo"
Senior Quality Engineer,"Removal of Drainage Device from R Low Extrem, Perc Approach"
Help Desk Operator,"Occlusion Int Mamm, R Lymph w Extralum Dev, Perc Endo"
Associate Professor,"Repair of Upper Tooth, Single, Open Approach"
Biostatistician III,"Drainage of Right External Carotid Artery, Open Approach"
Tax Accountant,"Bypass L Vas Deferens to R Vas Def w Synth Sub, Perc Endo"
Recruiter,"Destruction of Right Femoral Shaft, Perc Endo Approach"
Actuary,Compression of Back using Intermittent Pressure Device
Research Associate,"Remove Nonaut Sub from Epididymis/Sperm Cord, Perc"
Chemical Engineer,"Supplement Thor Jt with Nonaut Sub, Perc Approach"
Civil Engineer,"Detachment at Left Upper Leg, Low, Open Approach"
Senior Financial Analyst,"Destruction of Trachea, Percutaneous Endoscopic Approach"
Quality Engineer,"Fusion R Acromioclav Jt w Nonaut Sub, Perc Endo"
VP Marketing,"Repair Sigmoid Colon, Open Approach"
Actuary,"Drainage of R Ankle Bursa/Lig, Perc Endo Approach, Diagn"
Geologist IV,"Replacement of Nasal Turbinate with Nonaut Sub, Via Opening"
Engineer III,"Supplement Left 4th Toe with Autol Sub, Perc Endo Approach"
Account Executive,"Excision of Left Testis, Perc Endo Approach, Diagn"
Financial Advisor,"Release Toe Nail, External Approach"
Sales Associate,"Supplement Lg Intest with Nonaut Sub, Perc Endo Approach"
Health Coach II,"Extirpation of Matter from R Axilla Lymph, Perc Approach"
Sales Associate,"Bypass Esophag to Duoden with Synth Sub, Perc Endo Approach"
Tax Accountant,Hyperthermia of Right Breast
Chemical Engineer,"Drainage of Spinal Meninges, Open Approach, Diagnostic"
Assistant Professor,"Drainage of Left Seminal Vesicle, Open Approach"
VP Quality Control,"Insertion of Spacer into Right Ankle Joint, Open Approach"
Electrical Engineer,"Alteration of R Wrist with Nonaut Sub, Perc Endo Approach"
Quality Control Specialist,"Division of Right Lower Arm and Wrist Muscle, Perc Approach"
Electrical Engineer,"Removal of Ext Fix from L Fibula, Open Approach"
Budget/Accounting Analyst I,"Dilate of R Subclav Art with 4+ Intralum Dev, Perc Approach"
Web Designer I,"Revision of Intraluminal Device in Nose, Perc Approach"
Quality Control Specialist,"Destruction of R Low Arm & Wrist Muscle, Perc Approach"
Analog Circuit Design manager,"Restrict of L Com Carotid with Extralum Dev, Perc Approach"
Account Executive,"Bypass Right Popliteal Artery to Poplit Art, Open Approach"
VP Sales,"Release Sternum, Percutaneous Approach"
Media Manager II,"Insertion of Infusion Dev into R Subclav Vein, Perc Approach"
Teacher,"Removal of Int Fix from R Glenoid Cav, Extern Approach"
Human Resources Manager,"Extraction of Left Ankle Bursa and Ligament, Perc Approach"
Senior Cost Accountant,Beam Radiation of Back Skin using Photons 1 - 10 MeV
Programmer Analyst II,"Bypass L Com Iliac Art to L Femor A w Autol Art, Perc Endo"
Staff Accountant II,"Removal of Int Fix from L Metatarsal, Perc Endo Approach"
Project Manager,"Inspection of Female Perineum, Percutaneous Approach"
Assistant Professor,"Insertion of Limb Length Dev into R Fibula, Open Approach"
Electrical Engineer,"Release Left Lesser Saphenous Vein, Percutaneous Approach"
Administrative Assistant III,"Revision of Int Fix in R Knee Jt, Open Approach"
Mechanical Systems Engineer,"Excision of Left Ankle Tendon, Open Approach"
Assistant Manager,"Replace of L Int Jugular Vein with Nonaut Sub, Open Approach"
Technical Writer,"Inspection of Sinus, Percutaneous Endoscopic Approach"
Accounting Assistant II,"Removal of Ext Fix from L Up Femur, Perc Endo Approach"
Software Consultant,"Reposition Head Muscle, Open Approach"
Assistant Professor,"Repair Left Knee Tendon, Percutaneous Approach"
Librarian,"Remove Intralum Dev from Hepatobil Duct, Perc Endo"
Mechanical Systems Engineer,"Bypass Stomach to Duoden with Nonaut Sub, Perc Endo Approach"
Research Associate,"Revision of Synthetic Substitute in Up Art, Extern Approach"
Research Associate,"Introduction of Other Gas into Pleural Cavity, Perc Approach"
Senior Editor,"Revision of Other Device in Neck, Percutaneous Approach"
Associate Professor,"Drainage of Descending Colon with Drain Dev, Via Opening"
Biostatistician IV,Planar Nucl Med Imag of Thyroid Gland using Iodine 131
Occupational Therapist,"Revision of Intbd Fus Dev in Cerv Jt, Open Approach"
VP Quality Control,PET Imag of Heart using Oth Radionuclide
Environmental Tech,"Revision of Autol Sub in R Auditory Ossicle, Endo"
Registered Nurse,Plain Radiography of Right Shoulder using L Osm Contrast
Nurse Practicioner,Change Traction Apparatus on Right Upper Leg
Dental Hygienist,"Insertion of Infusion Dev into Mid Colic Art, Open Approach"
Software Consultant,"Revision of Zooplastic Tissue in Great Vessel, Open Approach"
Research Nurse,"Hepatobiliary System and Pancreas, Restriction"
Automation Specialist IV,"Restriction of Intracranial Vein, Open Approach"
Sales Representative,"Release Right Mandible, Percutaneous Approach"
Legal Assistant,"Bypass R Com Iliac Art to L Ext Ilia, Open Approach"
Associate Professor,"Reposition Right Acromioclavicular Joint, Perc Approach"
Account Executive,"Extirpation of Matter from R Lg Intest, Via Opening"
VP Product Management,"Fragmentation in Gallbladder, Via Opening"
Desktop Support Technician,"Supplement R Sacroiliac Jt with Autol Sub, Perc Approach"
Assistant Professor,"Supplement R Hip Jt, Acetab with Resurf Dev, Open Approach"
Programmer Analyst IV,"Supplement Right Lower Leg with Synth Sub, Open Approach"
Professor,"Supplement Jejunum with Autol Sub, Open Approach"
Speech Pathologist,Plain Radiography of Right Eye
Account Coordinator,"Drainage of Cervicothoracic Vertebral Joint, Perc Approach"
Design Engineer,"Dilate of R Less Saphenous with Intralum Dev, Open Approach"
Account Executive,"Bypass Splenic Vein to L Renal Vein w Nonaut Sub, Perc Endo"
Senior Developer,"Dilate R Int Mamm Art, Bifurc, w 4+ Intralum Dev, Perc Endo"
Senior Cost Accountant,"Repair Left Epididymis, Percutaneous Endoscopic Approach"
Programmer Analyst III,"Excision of Right Orbit, Percutaneous Endoscopic Approach"
Geological Engineer,Plaque Radiation of Thorax Lymphatics
Civil Engineer,"Drainage of Left Carotid Body with Drain Dev, Perc Approach"
Sales Associate,"Introduction of Radioactive Substance into GU Tract, Endo"
Chief Design Engineer,"Dilate R Com Iliac Art w 4+ Intralum Dev, Perc Endo"
Quality Control Specialist,"Revision of Synthetic Substitute in Urethra, Endo"
Tax Accountant,"Dilate of L Thyroid Art with 4+ Intralum Dev, Open Approach"
Administrative Officer,"Transfer R Up Arm Subcu/Fascia, Open Approach"
Product Engineer,"Drainage of Left Mastoid Sinus with Drain Dev, Perc Approach"
Quality Engineer,"Control Bleeding in Right Lower Leg, Percutaneous Approach"
Marketing Assistant,"Reposition L Humeral Head with Ring Ext Fix, Open Approach"
Internal Auditor,"Revision of Drainage Device in T-lum Disc, Perc Approach"
Design Engineer,"Release Right External Ear, Percutaneous Approach"
Chief Design Engineer,"Bypass 1 Cor Art from Cor Art w Autol Vn, Perc Endo"
Paralegal,"Removal of Other Device from R Low Extrem, Perc Approach"
Social Worker,"Supplement R Com Iliac Vein w Synth Sub, Perc Endo"
Pharmacist,"Robotic Assisted Procedure of Trunk Region, Via Opening"
Accounting Assistant I,"Supplement Pulmonary Valve with Zooplastic, Perc Approach"
Cost Accountant,"Change Drainage Device in R Low Extrem, Extern Approach"
Database Administrator II,"Release Left Testis, Percutaneous Approach"
Web Designer II,"Release Left Ureter, Percutaneous Endoscopic Approach"
Assistant Manager,"Repair Bilateral Ovaries, Percutaneous Endoscopic Approach"
Recruiter,"Bypass Upper Esophagus to Stomach with Autol Sub, Endo"
Web Designer IV,"Reposition Splenic Artery, Open Approach"
Nurse,"Drainage of Uterus, Endo"
Analog Circuit Design manager,"Drainage of Left Fibula with Drain Dev, Perc Endo Approach"
Accountant I,"Insertion of Infusion Device into Jejunum, Perc Approach"
Information Systems Manager,"Supplement L Humeral Head with Autol Sub, Perc Endo Approach"
Technical Writer,"Drainage of Right Acetabulum, Percutaneous Approach, Diagn"
Electrical Engineer,"Removal of Ext Fix from L Elbow Jt, Perc Endo Approach"
